,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
0,480.000 ₫,0,1,1,4.5,132,1,5
1,195.000 ₫,0,20,39,3.8,63,1,0
2,371.000 ₫,-54%,5,8,4.0,47,1,3.8
3,155.000 ₫,0,0,2,3.9,2,1,4
4,142.800 ₫,0,2,3,4.8,2662,5,4.7
5,148.000 ₫,0,6,24,4.7,238,2,4.7
6,63.000 ₫,-25%,9,25,4.3,1843,3,0
7,199.000 ₫,-62%,6,15,4.7,952,1,0
8,44.100 ₫,-48%,10,86,4.7,952,2,4.9
9,166.000 ₫,0,1,1,4.5,217,7,5
10,239.000 ₫,0,1,7,4.2,19,1,4
11,45.000 ₫,0,3,4,3.9,849,1,4.7
12,77.000 ₫,0,20,63,4.0,626,1,4.2
13,77.000 ₫,0,5,40,4.8,48,1,0
14,13.000 ₫,-48%,38,403,4.5,5222,6,4.9
15,142.000 ₫,-17%,1,4,4.3,530,3,3
16,155.000 ₫,-20%,5,18,3.6,75,5,4
17,110.000 ₫,-20%,54,161,4.1,295,2,4.4
18,159.000 ₫,0,26,66,4.4,154,2,4.7
19,46.200 ₫,0,1,5,4.8,9,1,5
20,119.000 ₫,0,20,72,4.0,626,1,3.8
21,209.000 ₫,-50%,83,318,4.3,4812,2,4.5
22,169.000 ₫,-37%,45,210,4.2,665,1,3.3
23,399.000 ₫,0,7,29,4.4,239,4,1.9
24,131.000 ₫,0,1,2,3.5,124,1,5
25,68.000 ₫,0,93,294,3.9,849,1,4.5
26,159.000 ₫,0,9,33,4.8,19,1,5
27,199.000 ₫,-29%,34,148,4.4,284,2,4.6
28,139.000 ₫,0,4,15,4.4,273,1,5
29,155.000 ₫,-18%,10,28,4.2,665,1,4.7
30,99.000 ₫,-34%,12,133,4.7,802,1,4.8
31,350.000 ₫,0,17,67,4.6,43,1,4.6
32,88.000 ₫,-19%,3,13,4.7,28,1,5
33,199.000 ₫,-50%,6,19,4.6,159,7,4.7
34,99.000 ₫,0,39,128,3.9,565,1,3.5
35,59.500 ₫,-50%,10,48,4.5,194,3,5
36,135.000 ₫,0,15,32,4.0,279,2,3.6
37,345.000 ₫,0,19,69,3.6,7,1,3.4
38,92.000 ₫,0,0,0,3.9,849,1,0
39,159.100 ₫,0,1,1,4.0,279,2,5
40,116.000 ₫,0,5,18,3.8,198,1,5
41,45.000 ₫,0,1,7,3.9,849,1,4.2
42,164.500 ₫,-50%,5,6,5.0,17,1,5
43,219.000 ₫,-47%,21,56,4.7,11673,4,4.8
44,139.000 ₫,-20%,1,1,4.2,5,2,5
45,136.000 ₫,0,11,33,4.3,559,5,3.9
46,154.000 ₫,0,13,37,3.9,849,1,3.8
47,119.000 ₫,0,10,23,3.9,565,1,4.4
48,189.000 ₫,-34%,4,14,3.8,189,4,2
49,149.000 ₫,-35%,118,235,4.4,3584,5,0
50,178.500 ₫,-49%,1,1,4.6,1740,4,5
51,78.000 ₫,0,2,5,4.2,6,1,3
52,159.000 ₫,0,1,4,4.5,16,1,4
53,180.000 ₫,-40%,64,172,4.6,1740,4,4.4
54,129.000 ₫,-49%,10,33,4.6,236,1,5
55,313.950 ₫,-45%,9,19,4.7,952,3,5
56,109.000 ₫,0,15,46,4.0,626,1,3.6
57,159.000 ₫,-20%,18,74,4.2,5,2,3.8
58,199.000 ₫,-20%,12,30,4.3,139,5,4.8
59,259.000 ₫,0,5,18,4.5,335,1,4.4
60,129.000 ₫,-20%,6,23,3.9,54,2,3.3
61,119.000 ₫,0,7,24,4.2,70,3,4.3
62,565.000 ₫,0,1,1,3.5,11,1,2
63,124.000 ₫,0,8,28,4.4,15,2,4.6
64,197.000 ₫,-20%,5,15,4.4,211,4,4.8
65,315.000 ₫,-55%,18,66,4.7,11673,4,0
66,485.000 ₫,0,17,44,4.4,405,1,4.9
67,72.500 ₫,0,0,0,4.4,273,1,0
68,124.000 ₫,0,5,14,3.6,87,1,4.6
69,125.000 ₫,0,2,2,4.2,1843,5,4.5
70,199.000 ₫,-62%,9,45,4.7,952,3,4.6
71,149.000 ₫,-34%,14,27,4.2,665,1,4.3
72,99.000 ₫,0,30,96,3.9,565,1,3.4
73,178.000 ₫,0,1,4,4.7,2662,5,5
74,119.000 ₫,-30%,4,8,3.8,189,4,4
75,159.000 ₫,0,27,249,4.9,66,4,5
76,54.000 ₫,0,2,12,3.5,1536,3,4.5
77,55.000 ₫,0,6,44,4.3,1331,3,4.3
78,79.000 ₫,0,46,173,3.9,849,1,3.2
79,219.000 ₫,0,71,417,4.4,2252,1,5
80,156.000 ₫,-29%,3,6,4.6,292,4,4.5
81,215.000 ₫,-46%,165,442,4.7,11673,4,4.8
82,77.000 ₫,0,54,148,4.0,626,1,4.3
83,45.000 ₫,0,12,75,4.2,131,2,3.9
84,105.000 ₫,-41%,11,33,3.8,189,4,4.2
85,500.000 ₫,0,1,3,4.6,22,1,4
86,162.000 ₫,0,1,3,3.8,63,1,5
87,139.000 ₫,0,25,98,4.0,626,1,4.6
88,179.000 ₫,-40%,32,136,4.7,11161,5,4.9
89,24.000 ₫,0,69,878,3.9,849,0,4.4
90,200.000 ₫,0,14,46,4.1,21,1,4.2
91,109.000 ₫,0,1,4,4.5,161,1,5
92,99.000 ₫,0,1,1,4.2,1843,5,5
93,99.000 ₫,-45%,14,30,4.6,386,4,4.6
94,149.000 ₫,-47%,18,24,4.4,3584,5,4.4
95,47.000 ₫,-31%,201,661,4.1,93,2,4.4
96,95.000 ₫,-30%,6,13,4.6,43,1,4.3
97,410.000 ₫,0,25,147,4.2,1843,5,4.3
98,94.800 ₫,0,70,237,4.4,5,1,4.6
99,200.000 ₫,-50%,3,5,4.5,135,2,5
100,899.000 ₫,0,1,3,4.4,952,3,5
101,199.000 ₫,-49%,3,8,4.7,5222,7,0
102,129.000 ₫,-54%,25,56,3.8,189,4,4.3
103,235.000 ₫,0,1463,5000+,4.7,2662,5,4.5
104,139.000 ₫,-46%,2,11,4.7,802,1,4
105,264.000 ₫,-47%,114,313,4.7,2867,3,4.8
106,164.000 ₫,0,3,7,4.4,24,1,4.7
107,99.000 ₫,-41%,56,159,4.6,1740,4,4.4
108,107.000 ₫,0,7,20,4.4,37,1,4.1
109,179.000 ₫,-40%,9,15,4.6,1740,4,0
110,999.000 ₫,-47%,1,3,4.8,4,9,5
111,69.000 ₫,-29%,40,190,4.4,284,2,4.4
112,100.000 ₫,0,3,21,4.3,559,5,5
113,80.000 ₫,0,6,45,4.4,26,1,3.8
114,295.000 ₫,-44%,90,239,5.0,4,1,5
115,288.000 ₫,0,1,1,4.7,11673,4,5
116,96.000 ₫,-20%,2,4,4.5,133,1,0
117,224.000 ₫,-28%,250,669,4.7,2867,3,4.7
118,159.000 ₫,0,265,1610,4.7,2662,5,4.6
119,99.000 ₫,0,9,30,4.7,2662,5,4.8
120,99.000 ₫,0,1,3,4.3,98,3,5
121,99.000 ₫,0,5,6,3.7,143,3,3.8
122,159.000 ₫,-50%,4,29,4.8,267,4,4.8
123,95.000 ₫,0,72,333,3.9,565,1,4.3
124,175.000 ₫,0,17,59,3.7,28,2,3.7
125,119.000 ₫,-34%,43,116,3.8,189,4,4.6
126,348.500 ₫,-38%,7,15,4.5,308,2,4
127,280.000 ₫,0,34,74,4.7,2662,5,4.9
128,179.000 ₫,0,2,3,4.8,13,1,5
129,209.000 ₫,-58%,18,57,4.7,11673,4,4.7
130,89.000 ₫,0,5,66,4.7,719,5,4.6
131,119.000 ₫,0,2,7,4.2,145,1,5
132,109.000 ₫,0,52,142,4.5,34,1,4.6
133,26.000 ₫,0,8,42,3.5,1536,2,4.3
134,235.000 ₫,-36%,5,13,4.7,11673,4,5
135,97.000 ₫,-29%,3,6,4.2,1843,5,3.7
136,325.000 ₫,-46%,12,40,4.6,1843,4,4.7
137,124.950 ₫,0,6,12,3.2,39,1,3.2
138,75.000 ₫,-24%,50,148,4.3,1843,2,4.3
139,180.000 ₫,-40%,99,220,4.6,1740,4,4.7
140,105.000 ₫,0,14,19,4.7,2662,5,4.8
141,649.000 ₫,0,2,8,4.5,308,2,3
142,87.000 ₫,-20%,2,11,3.8,414,2,5
143,150.000 ₫,-20%,5,15,4.1,295,2,3.4
144,249.000 ₫,0,1,5,4.6,60,1,5
145,3.100.000 ₫,0,2,2,4.5,162,2,4.5
146,178.500 ₫,-49%,17,54,4.6,1740,4,4.4
147,295.000 ₫,0,1,10,3.9,849,1,5
148,84.000 ₫,0,855,2094,4.3,570,1,4.3
149,115.000 ₫,0,5,6,4.0,279,2,4
150,129.000 ₫,0,3,17,3.9,565,1,3.7
151,174.000 ₫,0,1,1,3.6,87,1,1
152,189.000 ₫,-37%,24,55,4.6,1740,4,4.8
153,129.000 ₫,0,1,1,4.8,13,1,5
154,149.000 ₫,0,21,108,4.4,292,4,4.1
155,189.000 ₫,0,7,19,4.2,828,1,3.9
156,69.000 ₫,-29%,1,1,4.0,361,1,5
157,199.000 ₫,-45%,3,18,4.7,952,3,5
158,235.000 ₫,0,813,2799,4.7,2662,5,4.6
159,32.000 ₫,-43%,12,104,4.2,665,1,4.5
160,129.000 ₫,-26%,261,681,4.5,5222,6,4.6
161,100.000 ₫,0,14,32,4.2,1843,5,4.6
162,68.000 ₫,0,0,1,4.4,273,1,0
163,130.000 ₫,-20%,7,40,4.1,295,2,3.1
164,99.000 ₫,0,2,7,3.9,565,1,4
165,79.000 ₫,0,5,19,4.7,119,1,5
166,24.500 ₫,-50%,9,85,3.6,108,1,4.4
167,69.000 ₫,0,7,16,4.4,3,1,5
168,247.000 ₫,-7%,10,18,4.4,211,4,4.1
169,159.000 ₫,0,1,1,4.0,1,1,4
170,140.000 ₫,-20%,27,54,4.1,295,2,4.1
171,155.000 ₫,0,1,4,4.2,173,3,0
172,179.000 ₫,-47%,2,14,4.8,206,2,5
173,142.450 ₫,-45%,1,3,3.8,63,1,5
174,203.000 ₫,0,28,70,4.6,78,2,4.4
175,45.000 ₫,0,24,157,4.2,5,1,4.2
176,139.000 ₫,-37%,3,15,4.4,3584,5,5
177,73.000 ₫,0,5,22,3.9,182,1,4.2
178,114.500 ₫,-62%,5,7,4.1,68,2,4.4
179,80.000 ₫,-19%,7,46,4.7,11161,5,4.9
180,164.000 ₫,0,2,5,4.2,145,1,4
181,499.000 ₫,0,105,204,4.4,74,1,4
182,79.000 ₫,-47%,14,55,4.2,57,2,4.6
183,577.000 ₫,-51%,13,40,4.7,11673,4,4.7
184,137.000 ₫,0,17,49,3.6,87,1,4.6
185,84.000 ₫,0,5,7,4.3,75,1,4.6
186,99.000 ₫,-41%,23,76,4.6,1740,4,4.3
187,149.000 ₫,-57%,1,3,4.7,31027,4,4
188,49.000 ₫,0,24,58,4.0,626,1,4.4
189,170.000 ₫,-30%,16,44,4.1,130,1,3.3
190,78.000 ₫,0,5,19,4.2,213,5,3.6
191,89.000 ₫,0,16,28,3.9,849,1,3.9
192,140.000 ₫,-15%,2,7,4.6,95,1,4
193,80.000 ₫,0,29,62,4.8,498,1,4.7
194,150.000 ₫,-12%,1,1,4.5,2252,6,2
195,309.000 ₫,-44%,2,8,4.5,308,2,4
196,156.000 ₫,-23%,7,9,4.6,2252,1,4.9
197,68.600 ₫,-30%,7,51,4.5,117,1,3.9
198,129.000 ₫,-47%,55,122,4.2,665,1,4.2
199,105.000 ₫,0,7,14,4.3,44,1,4.1
200,178.000 ₫,0,2,2,4.7,2662,5,5
201,160.000 ₫,0,19,61,4.4,24,1,4.6
202,477.000 ₫,-53%,16,54,4.7,11673,4,4.8
203,124.000 ₫,0,7,186,4.4,15,2,4.6
204,95.000 ₫,0,18,17,4.2,134,2,4.3
205,169.000 ₫,0,1,1,4.4,0,1,5
206,71.000 ₫,-57%,12,103,4.4,292,4,4.5
207,149.000 ₫,0,39,95,4.1,1536,2,5
208,249.000 ₫,0,1,1,4.3,56,1,3.8
209,29.000 ₫,0,16,58,4.8,19,0,4.6
210,62.000 ₫,0,146,519,4.7,208,1,4.6
211,149.000 ₫,0,46,248,3.9,565,1,3.5
212,275.000 ₫,-28%,35,65,4.6,1740,4,4.2
213,159.000 ₫,0,2,4,4.4,188,1,4.4
214,690.000 ₫,0,8,43,4.5,7,2,4.8
215,111.000 ₫,0,12,23,4.3,90,3,5
216,319.000 ₫,-36%,5,13,4.7,719,5,4.9
217,239.000 ₫,-20%,20,55,4.4,135,1,4.5
218,115.040 ₫,0,121,421,4.7,216,1,4.8
219,282.450 ₫,-40%,6,22,4.7,952,3,4.8
220,129.000 ₫,-20%,2,2,4.2,5,2,5
221,84.000 ₫,-29%,21,34,4.5,5222,7,4.9
222,59.500 ₫,-50%,10,35,4.5,194,3,4.7
223,385.000 ₫,0,4,16,4.4,405,1,4.3
224,258.000 ₫,0,1,1,5.0,3,1,5
225,315.000 ₫,0,1,3,3.9,741,1,5
226,225.000 ₫,-31%,23,43,4.7,245,5,5
227,95.000 ₫,-30%,22,67,4.2,1843,5,4.5
228,99.000 ₫,-48%,21,74,4.4,817,1,4
229,50.000 ₫,0,1,1,4.5,5222,7,0
230,79.000 ₫,0,1,13,4.7,0,3,4
231,310.000 ₫,0,11,40,4.1,22,1,4.6
232,49.000 ₫,0,5,15,4.8,19,1,4.5
233,109.000 ₫,0,11,28,3.3,147,2,3.5
234,245.000 ₫,0,13,75,3.8,36,1,4.3
235,89.000 ₫,-36%,2,5,4.3,559,5,3.5
236,229.000 ₫,-40%,22,68,4.6,1843,4,0
237,329.000 ₫,0,29,146,4.9,120,1,4.9
238,97.000 ₫,0,0,0,4.3,1024,5,0
239,12.500 ₫,-17%,1,16,4.2,70,2,5
240,149.000 ₫,0,1,2,4.5,217,7,5
241,149.000 ₫,0,2,11,4.7,465,1,5
242,100.000 ₫,0,34,70,4.2,1843,5,4.6
243,77.970 ₫,0,30,114,4.6,148,2,4.8
244,105.200 ₫,0,3,3,4.3,42,1,4.7
245,269.000 ₫,0,16,33,4.4,292,4,4.8
246,119.000 ₫,0,30,460,4.1,566,2,3.9
247,200.000 ₫,-52%,6,18,3.8,63,1,2.5
248,164.000 ₫,0,2,5,4.5,2048,4,0
249,199.000 ₫,0,1,2,5.0,0,1,5
250,213.000 ₫,-40%,39,202,4.7,11161,5,4.9
251,230.000 ₫,-17%,40,117,4.4,211,4,4.5
252,185.000 ₫,-30%,4,10,4.0,279,2,4.8
253,168.000 ₫,-35%,106,287,4.2,665,1,4.1
254,152.900 ₫,0,1,4,4.5,40,1,4
255,65.000 ₫,0,3,27,4.4,136,1,5
256,95.000 ₫,-30%,30,82,4.2,1843,5,3.8
257,205.000 ₫,0,3,7,5.0,4,1,5
258,34.900 ₫,0,20,158,4.4,273,0,4.4
259,95.000 ₫,0,10,26,3.9,565,1,4.1
260,427.000 ₫,-52%,17,53,4.7,255,4,4
261,795.000 ₫,0,1,1,4.3,1843,5,4.2
262,78.000 ₫,0,16,41,4.2,11673,4,0
263,325.000 ₫,0,1,6,3.9,741,1,4
264,131.000 ₫,0,13,40,4.6,2252,1,3.5
265,156.000 ₫,-17%,2,11,4.4,75,1,4.8
266,97.900 ₫,0,30,118,3.5,9,1,3.3
267,190.000 ₫,0,1,11,4.6,115,2,5
268,125.000 ₫,-30%,1,1,4.0,279,2,1
269,159.000 ₫,0,5,12,4.4,154,2,3.6
270,235.000 ₫,-40%,42,83,4.5,5222,6,0
271,19.000 ₫,-37%,11,27,4.7,11673,4,4.9
272,159.000 ₫,-50%,5,33,4.1,130,1,4
273,49.000 ₫,-30%,42,182,4.8,414,2,4.1
274,85.000 ₫,-21%,8,15,3.8,6553,7,4.6
275,120.000 ₫,0,6,13,4.5,37,1,5
276,51.000 ₫,0,1,1,4.1,89,1,5
277,75.000 ₫,0,3,9,4.2,213,5,0
278,40.000 ₫,0,24,146,4.4,92,1,4.6
279,75.000 ₫,0,1,1,3.9,8,1,5
280,159.000 ₫,-47%,1,3,4.6,1740,4,2
281,159.000 ₫,0,209,1574,4.0,122,1,3.8
282,145.000 ₫,-36%,4,4,4.8,25,1,5
283,119.400 ₫,0,3,5,4.4,489,5,4
284,187.000 ₫,-58%,10,38,4.7,11673,4,0
285,199.000 ₫,-5%,22,59,4.0,288,2,4.9
286,75.000 ₫,0,9,54,4.7,952,3,3.9
287,164.500 ₫,-50%,5,8,5.0,17,1,0
288,33.250 ₫,-5%,1,2,2.9,504,0,5
289,214.200 ₫,0,2,4,3.3,147,2,1.5
290,51.000 ₫,-58%,170,468,4.3,1843,2,4.6
291,89.000 ₫,-43%,1,1,3.8,25,1,5
292,104.000 ₫,0,115,365,4.7,952,3,4.7
293,199.000 ₫,-62%,6,25,3.9,388,1,4.1
294,129.000 ₫,-36%,80,635,4.5,5222,7,4.1
295,28.500 ₫,0,7,17,4.4,273,0,4.6
296,239.000 ₫,0,6,12,4.0,26,2,4.7
297,53.000 ₫,-33%,106,359,4.3,1843,2,0
