Link,Price,Discount,Number of Ratings,Number of Reviews,Store Rating,Number of Store Followers,Available Coupons,Average Rating
https://tka.tiki.vn/pixel/pixel?data=39BBcSrdOpiPMn73WluX2qq6bc4Jz6Tt-ViMwOKf9LOyu5AKEo3b-_lQ9mQIGHu5PUglAxm7IH6N_Yojwrax0-Y3b8mNndFKPWsgXcm6mtHi9ozzMW3Ibf1c57eltDYigsYtZ_iVmhKkRWEpBILO8NLTcPgk0h5kpFFfVFP8r8FeSwgENRfAo0ydrTYZ5s8mA2ElcYO5utag4KVq0cbgapZ6Vx-rNtwZBL2i_YHx3oZech7JjaSvlVRAZYBoIvwg_HaRxWHsJMzh1gisCUD-LjSq7JDRip5Mpy9GAYJzI8vCN4NhaJY2l9oReooS2CYFNG39Xyog-1pfhNxYGA81sa5LrXIKtvvGYMEM5Sfap5wlMBTV_1yIrnfFazfgwTYJo_tAM497znBZWZup5fXWF4om2Tyqx9s2aZfiKJsdhA7edywVYJS6ASnV9pA96yKLZD25-i43rBXa7RKZFI701RBS4McPbBPQ7qQqHp2Us7GzgWm-gI-D6FH8U05qC9hJPOwSDjum3wh7t31vHkE2agpACccfj-ireuhUCBE0xi6uu3kEEr-QozpnBqU34Kvow4NQBw14YllPHarG5e35IJg6RMuMci3AD7_S-OzUrlmtz189Oe1SL6pSbTHAJslQYTqEPRDAHaWEeAyeqCZ7nJ-RsKWqigCV6ZQlBFJ2JNJudfVDKnilQIciVndaC4hg0TU_vLaGhR00jj4BRr6T0q44XS683fql-UomZdx6IxsZyW3cIgMev5Qjn2uvvPzoN6f6hxiKENdfKloRrbACvSQ1lJPMkObe-eFG9IINDuLki6viI3EthmgNdFnaJHUiUZ8a1qoe1BUEVRlwxCvQIUB7BpwKXROTMiAdrU4T6tbQjomNaWZSQ1iK4J44FmMdzqAP9jUMYq-xb6e5qaQvueR0107iSYJEaAE0d_JLyfmfiQmz2YGUwPQpQkedugoUwGYePtV1nybfOkL4FFBEPsuxFm_lzJSLXyKi4UY3fpr0MUyQHycPktrpY3T342Mb6BgRuzpC0TVhC_AWPtxFa69wVzL2aUQZHFFHKuldUTBD5kvG96eEsfpj1eYTXsZP0ppD5RGikFP5vVKNpzr5ZzSgvJQymPK3FAP5oihAHy3vnHFp4INY0pocr6qiimMIL6NOD-UymK444vTv5yBOd0XckiUfNUsIcV-qgf7Wy6PaSn96jFzSp9T7KLlUjEv_Q3bRt1ofDQ7zj3Ba9nX8mMEtIAxqgFzapLXcZMYHMMg94QHta6TYN1GjN2_TydawHRtQs9sgrKXL3_CNV7wT3hhjSkCiNaLZOJvmYwG1K4L5LBOPgcP-xiIEeBBin3ieFwMVjpAhKmvlw9650oBAJ9ygJ3QMLo5at7wfX3zpwAFphe32pY5qjbNgwiz8VULw_i83KHkhCdbsAXy0IpRHDjNRrl-KifDYEsELUrhV0FdPIrd0dLSdPAB5k9Aq3uPo-JFg0ON1gPyjrNHOd0K1nmTQR9D6pWBRkkMGXLXh8jlsbjgLpEM1bb5nOishIrn6X7YN_LAUAlX5vqkwGSfG2iJ8lJz7r8hI-aygVlGOIa8XuqD1iX2sgzxuieow09xfMSWMhNPqKbcrMCKnk7SLSSGM3I7VDtL3KYrwEKPlaprc_cT02UVXM2Z0aSN-hWeVtojZVWHt4_wXpOUixuLFxRPZtxQ4WepF6phHUP_F5QMkG6aUT8tFEbow0sN99Ze6W8MBIIH4FFvY_tPq-mSh7Srcy_6eGmz73f8-YFC8wGyS_abrj13HJ1ya7KCcA3KJBd368t6tvvTCgdpGgSchyaqqi0_vEBT-3yKtzx6dIbeEAXcqusMI3Aq-7mouvxAkojkIf_xdudWL90coLmDr1G9itLLw1yh5C18dyy0AaRPDZEO4dEtneG8pJDXBz0PD9Hc-T_-IxOTKfIrYRWRZ_Q_tOXEcbJzzSKQcvjqtllSDH4-62QnuxAVoRUf__MeucrGQcLJhfhF_BmKPk2fe21vJgQ&pos=3&reqid=2Y1uyEbgquYr91oM&type=CLICK,265.000 ₫,-41%,78,186,4.6,238,1,4.7
https://tiki.vn/internet-tet-ga-1-ty-gb-sim-4g-mobifone-khong-gioi-han-dung-luong-goi-ed60-60k-thang-hang-chinh-hang-p204810476.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303230600_MD_batched_PID.204810477&itm_medium=CPC&itm_source=tiki-reco&spid=204810477,265.000 ₫,-41%,78,186,4.6,238,1,4.7
https://tiki.vn/de-tan-nhiet-laptop-may-tinh-xach-tay-h9-co-den-led-6-quat-giup-lam-mat-nhanh-bao-ve-may-tinh-ma-khong-gay-on-p78940158.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303230600_MD_batched_PID.78940159&itm_medium=CPC&itm_source=tiki-reco&spid=78940159,265.000 ₫,-41%,78,186,4.6,238,1,4.7
https://tiki.vn/loa-bluetooth-5-0-robot-rb150-man-hinh-led-kiem-dong-ho-bao-thuc-ho-tro-cong-aux-the-nho-hang-chinh-hang-p73639668.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303230600_MD_batched_PID.73639670&itm_medium=CPC&itm_source=tiki-reco&spid=73639670,265.000 ₫,-41%,78,186,4.6,238,1,4.7
https://tiki.vn/tai-nghe-bluetooth-cam-ung-cao-cap-tich-hop-sac-du-phong-2500mah-bass-cuc-hay-khang-nuoc-ipx7-gia-do-dien-thoai-f9-pro-p181361823.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303230600_MD_batched_PID.189475954&itm_medium=CPC&itm_source=tiki-reco&spid=189475954,265.000 ₫,-41%,78,186,4.6,238,1,4.7
https://tiki.vn/combo-10-quan-lot-nam-nhieu-lung-nhieu-mau-hieu-cm-p73365866.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303230600_MD_batched_PID.73365868&itm_medium=CPC&itm_source=tiki-reco&spid=73365868,265.000 ₫,-41%,78,186,4.6,238,1,4.7
https://tiki.vn/combo-3-quan-sip-dui-nam-set-3-quan-lot-boxer-nam-aristino-chat-lieu-cotton-khang-khuan-khu-mui-co-gian-4-chieu-tham-hut-mo-hoi-cuc-tot-abx03707-p144162512.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303230600_MD_batched_PID.144162514&itm_medium=CPC&itm_source=tiki-reco&spid=144162514,265.000 ₫,-41%,78,186,4.6,238,1,4.7
https://tka.tiki.vn/pixel/pixel?data=tD43FhMFNQLLg84hPmOLlOtVlVE4imp848WKtDDxV_1Yz03XNWg098Bv86qpqrEaIneuLrUNn3hU3P8KwNP49IJoXwTLGF9OrWnPaEynR_pgC2Ts3xhq5UwdPRJj2odH7YVnVO1_gmZ_KxqkZFlW0HDZ5frHcktYIXv9U24ta7jGVv0EFusD_UxRiC3dsF3Q4DyMd5ehVBx5duQyCYl9YGW9Ru78M9cvXgWP0Uf1e78C-emKNAiW1Clw4NcF8DdEMNjhNts_lhZv8v82ArFYE8DOcT2-dmyuwTAsn-ELwsONmIxjHvsd5zvs4T6kl0FoPJFN3SUVfTNBIcBhCFwJVXLo1SkkfbgdyE8O_fjvGfllb0P0YbgeXNfR9V0HWOMnUR9LEgul69Qh5wnignwU2NXL6QAyh966znd0yVdA_el8YPOS5s6LQx4H5xY5cZMWQYVnKPBGPIUzkAkUkgODT72-WhQLoYs6L2gwIW_3zNKnNDnAjVLckM91EFaYUNczBZLqRWZB4pzwJlafbSNtwVL4tJJu8ltbUFaBHcldfGG_ckvMTmHZ71muHNLt-fm1agt0kjm1T_qT8gkwkhQeMEo_hHnmWdMw3adyPb7y8qNqFT8-VcnAighSLoNqjMfDOmYux_1IZV7UvcBMg6JNgGnrTX2Mp60lVfGDoUAQ1-FBJbApSH03VHPw6OI6gOF-gyRVjjo35lITpwriQUV1m_D2zdQWTDm6tUUY_FcYV9X1bL0WXe26he-5-GfImq9e6_WWVzi2kCExXXI5K99zF7KHdu9wfe2a20pXXig9yZv7bFR8a7mhcGteyE_kkJyBtC8bPnT8s-gFSYxlRWPFMt_CZJumO2i1Bl3JQ9o_kx9JVjGaQg7B761zKMg-DfjjOSfkAmozqTDQsLVlI7ZgVP9Aa3oNbU4dDcxz4IJjrivynAjxYEiYlMzaB24Jf3BO72AR8XCw6NluWgNgsO6Y8pcnJTv7bEL9qpPbWiAM3ibAbjOytYLt2BB3NadMJMkhDSa2VH6CEBAVP7QnT7JYV4odUWN3eALjyBiTZ2B_oh8vBaXE4n5Rd7YHooG3f04ha87NKlCR1feMilZ81v4dxusyNDCZvsKzL9Nfe9QodtYBSNoTRo5yQEqdEMVnF6feYsIEnJyzkLVUhsv4wCM-Bcdf2F8PE6umIiVJYeCNq17Yh1q7ncD4uda6ioXk-P_7RmPkdZ-mCH9mmqrZMAHoYchGWS0l36vOLrgAREa_jHprlvA_snRucxwHrNi6WBrfPTOZnqXUIr_12o3CrXWUFkMTD4FeC0jbATPN8fD_ed-34obBxud4OrtJdmaNRzT8X4QsYOPdEppEtxhLs0tEIH1_iQ6PALK4qD0lQFvjuK-2Q53ShlsFmVo72Jk44JNNPL2BWEGj8G4bVXFAiupIKXUJuk_W_1zGRD8ruSm1TyCd8NUmd6RzYxrYfg7oDd3z86FSWY5nbpiDtfhnTyaWKl3WWN7YFQ3_6t6X1oDMN1m5b16TrU1peieyL3hX6u88drRZqQFBLFGBcUivn0HDoL9Urq6ezOB-8S0ZByC8dBMej8HuU4otPOrgpCJVGkOhUM_RpvU8yJd2Wf8ZwtaXbHhz-VongJ8eOZcDS98o6dMECGhK6KiTWocfLVhKckl9iqiyDcGOxLKvW9TGqlGwOO4J1yDytQzFCLZjcd7P0No4MCT5pGgrMQUHgD0BV5Rlb_-d1sUSL9mlQU8aMTFU-OYXmJTueY0Mwfqy2fcI1yPMrO_Z44v6E4cNfwYcbjy2ffVc_KY&pos=4&reqid=9cLfZlAnl5QuMqyX&type=CLICK,265.000 ₫,-41%,78,186,4.6,238,1,4.7
https://tka.tiki.vn/pixel/pixel?data=ECYQG_UggzG-zG1pTXVt6DsmlkqX6ooo037PTM4jS1Aefer3fRCkDea2D3PggrGUPVHpGCp7JqTEJ3jYn0Q_r0cFEd29Cc6R83GMClai9F6eIjS1vdV0_8XLa3WoO2wwDQXlPytlV087qwJsLNZit6u-ef4fWCuAFUMN3Wvq_c9nJ_sBFI1BT6VCtURnaw_f6DvGuwBYCpErjIABF7bE8tqKUO9LOMb8NJkjymXwkju6Fa3limU-ACjjHAjPQw7jBtSJEZSZbwHINtQ5BV2pjfv6DdgnNd5HrVuAXt-p92EPz4d6UAmuGp4gGcohqqlKwhZ5uMP-XMNxBkwlxlBnO1TO6P2uH0CtTf-fCPg6saD2asjoCaJ4bSVd-_jxExubMiJUUOnNl4a7kRK9w-_qV2EaeI-rfZ71x8eKx4TXL_FVwiV-V2GlyGg0OH8zWkcDdVRyKJ6yaXogLuBabhsThSKRtwc5Asyc39wc8sPy1ouQ8DkJb6aChZgPJQSPKoBysIAo-Bk8UAFk5cp3Puty6HrG1nlQF5_Lebq-C9Z3nCchMvJs_N0OULfMMAyH1ym_UfqTMVdxWMNUxkk7-1MXLLxUw5ONWopBwo5KHlpX_bIVgSQWWGsJmlD_PNM-OAkkyDn4RFWqygO-tQOs-1JpskQa-ZGtqUX6kaIy8Vyyqo9NT7UkONrwZ3vgmcLL-BOQzBTJ9H5cz2EhrB2Bgp07o7S9JNeEU5nhv4ygMhDqZEeXT0l5ncPlyY8q2s90R3_UTbUALi8ARrqjznCJse9TJYTVm2phQT1CBqy7DqcrVO7i5dwacTMS548l7naF0H5VAxAxAFud_NQ-C84Md32cioXXbqamReBLAZlxoEAm6V9y3fze0sgdjvxwn3B7_1H6b7ehC7hEYc4wa3-Qt8xXx7POhv9QVFQxF7gmsU6IMSiFneFhLn0h3eDNbLRvibA_ZI3aEXESFELnF5qjbdcHHYVrZo_bNzHRXSLrjLecMKPqV12GAck_C5kUf5TsqB0uXTp9omtVOUWrdTlzRWoGyPWDE30bKVRnTdbYJcnUMzLh2Ipp3Q_HIu6J72vdAwZ7_k9Rvjcu7lOINIxQKkq8WSeXKUD9VInG-D8aE6TfM75OJ3V0IgnFyhg4V2iL2x0eNf4D0PIxao1-5ebH4bMSlKIIaFLhfZKG6WOxwhOWYbvDaYHGYkxktrHSxt17SsaTp51p-UgkWTdZoCMUo-sUbG7c1iEDkaIqxm-jjYOUS0ObZgLvIXIZCRe8RwXpDTGOWch2RTj41-sILQnUqYRlOzo9cGfF_v0FPlFHTxMulkUNPWVc_rLw-3gIxPweHndIyJSlFsezaXBVwINztV8PUB1tC239fwdgeAebxC-4e2tBp7hcH-wK8dFBf4xK3rYa-kO6OUItl1MQT6iUowYraxAeuIPOM_9TTEuO3i2OiR7AXab3p7QQ7fnLUsT-UIwLHBHPT8g1YjY6b6X3XMk5zxYqUfz31XpLKiiuqR_1uobulou-Bpl5SE2bmAUyL8soZ5UthZtMgWnYCFYq17_IpJktVuo30Me4KIDtJnlTbIGjMuiBDQwOH3iaC41MJ_y-WH9GKJB03FVk52WjFYfLWnvGbUlmGqGhPZ56v4GxqypGdxRXRtLwZv3BVvBeRxu--1g8O3JA7cWa3JSFG984y-oBJJfch0YGII3yZTVPo0dwCLKkpvcpUfswnLXa8Rp6fLXedQ8HcXk7NCsmlRtQBbypuKJ1jgKk5aXRSO8_6zBd4o7CfduC_CQHo79XNyT-NbieOGtPHTLFBDyApDnOcP1s7qpb9mgk-Yg3fk__ggPAMujKX1xBFW3mmb7Ezcwum2dxv1gTzkRl4bUOV9aAlTHpB4a1tFc-CVkpz8VR3f7D1X7sAUBSoQZrcl9kSoZvLkAmq30hsH7Il-aiWaGyQfFfY_7z7mFXKtEfjQZq6rKS_fkqGPNWXAZA6ou7FdbPPIPlogrEyd8-fsBAS6PQZIPV-TtFBdNmSpx2eHAz4sLI9GQE45BlTcchXgQZJ4QgaXJibLbsTmMX4jpYwS4z2-ufk9YAhGg563FDVYH2I9HorpIWg1uZSEvVo1ymXmUxeGAw5KQfLgbE6ry1Jo6Fup5GE4qGQh5KzMv8wdX3RaY92DZzC_suEyFfGec7rMk3qbQJWCcz6aWtCISwkV0&pos=4&reqid=2Y1uyEbgquYr91oM&type=CLICK,99.000 ₫,-45%,514,227,4.5,263,1,4.4
https://tiki.vn/ao-so-mi-nam-tay-dai-khatoco-a1md598t1-thcr075-2005-d-xanh-p20534154.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303230600_MD_batched_PID.20534177&itm_medium=CPC&itm_source=tiki-reco&spid=20534177,99.000 ₫,-45%,514,227,4.5,263,1,4.4
https://tiki.vn/gia-do-de-do-tan-nhiet-danh-cho-laptop-macbook-may-tinh-bang-gap-gon-tien-dung-tang-kem-tui-dung-giao-mau-ngau-nhien-hang-chinh-hang-p120782190.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303230600_MD_batched_PID.190239114&itm_medium=CPC&itm_source=tiki-reco&spid=190239114,99.000 ₫,-45%,514,227,4.5,263,1,4.4
https://tiki.vn/combo-3-quan-sip-tam-giac-set-3-quan-lot-nam-dang-brief-aristino-chat-lieu-bamboo-thoang-mat-khang-khuan-khu-mui-cuc-tot-ac-06-p145266582.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303230600_MD_batched_PID.145266588&itm_medium=CPC&itm_source=tiki-reco&spid=145266588,99.000 ₫,-45%,514,227,4.5,263,1,4.4
https://tka.tiki.vn/pixel/pixel?data=Fdar83hHthqjAJWJ2iGZjr_l7l0K8LwjKejbuo3lud46bqEHxq7l_8Gff9yHtoanlECkXb1_cgqcKob4MrjPdbc5BmaaCpIlxlK6YLAdKM6wBLjFvoRdsM3OaMu9HOFGcAi9MjcRvYYFFxPAlnUA2NEeWHqJdvbPcWWH8A5GcRCDP0CGAIpLv_A2gMJ9tlXOaDhakZwYmI79LRKuk5OsO5IdKBFOuHKut7lvEp38ZewUgr6JhgDojCXZ4NIj68USQNc8dWgvptOqAI4i3fWTUOiQc6AuIwtEFHGf2ydImN5_0jpn3GUAVwnHuvLVZTzWZF3hwpR-ttEXXiqkyHya09T_SmkkB6ONYQREfVTLb9k8GixIAXkO9284fc4ZekbsceeEyIL_IgR48VBYq_rzJHQnYlD670XV9WiQNPxq7r8OEwyDq_XQg6zxia9yyN6mHVDql1zbMv311A2MDzGBH27R3cuw_sk5dyOq5aDJkP9UI6OtJAHENW-4wtPKbYzgn4RyH0_7R_9_x8XEoJjUhtlKvFxGjI-Y10e7SjibOqnzO1pkc2FtlIm0yE3ofVv8xpY5E0jg7g-TGF99har4vpRKULUScUleP-wOh_-OTW3rrhHgf2CH6j370GYmp4zfmYp8PdumxEBXyYk4DRMgBMxr5-LDET6qcvq7GJmoprYT8aHVlCG4Scw2xRJcQ2JWhZXkLQ9kowUXnyZtnHtARDtQMDBdWTPCQECIgtpTUtlf_dGbPG7QnzcmVPyP0pPCz4l4LKkvB6k6AIIsdQl9k2W9hrC9MCOV8BnKL6nmk-5xlvvP1iHVeB_x31gY5L6hsMk_39tGWsw16N4Yi_r89LQ6DuqJpkARW1giuiggY5nkhlPHB4rRWsKzB0DwAs8-AhvkCbsWMVpUqDbaPu4x1e0rMom7X_Z0rHUzhsMexHO7ElzjJapEGptCrEGrqI_AURL28S6drxOiP3fX3XVrb1jVNBRsuZ9da2Ijt3hxBp1_mW65rRZryC_2SZ6YOnC35p89ZsE20Zkx6cpMsRaIFsCYnE0VsQ7TvrrhrVUPEzYjxhP8nqLE-CHsBz_Sdi3DiVpLwIpYgf6pNaSpU5LO8AJgPtd_-A3jI06MCOyrI4AGBuLfglQXzMk9br8XZWL1ShivzdbU3ZKwoLJ2A82Ij0DKyz_yeJhWtP9gjVuIWZS4iqGARFvGyF789RokYDPldnWGJnqGFktv9VBmwcP2qB8kwRRmMIVSon3PzRxWik3Ot0qzwfFUuOOLF4SUywXW4ofmrPPrL5WzHPWsShBc11GM---kueCAAJH9wZMIEj5wLp-BNp3YpSyBXbbFFwkZLwqUItxBf3T24Pf8lx418StvqgCOEQxM1Kvz1NM34zXDFuxE3_LiYm9l67R4iz7C8SnPkEhXeq54xv7mQYz7be_OyoBRo5-GtFrlVQezLfRVGte-a6xPxM9mqaTeoDUaHEEoQxnwZCsGinPsgZRAlnQajkN3CdZJRuvQrX5cv1xV8VNsRTDo_KU2AakxLr58XgICo982wp1Jfjy1AuL8Oh-WxcOenX5ceq87lsStlil48bGxpkyTs3mDLuNpHKzIPKs_am4Pw0en1EtToXgnxgYTDeEG1PLX93u8X5s03wQEd9pbKg_HnSTxK37Nly_zruo99wUclf0z-UgSyFmn9glxytSVINyG6TfGvC41n4EDA2BYJpplIs5582m2D28gqLiVPH_PINm9mA&pos=3&reqid=9cLfZlAnl5QuMqyX&type=CLICK,89.000 ₫,-6%,398,1724,4.5,7884,1,0
https://tiki.vn/dau-doc-the-nho-2-0-hoco-hb20-mindful-ho-tro-khe-microsd-sd-hang-chinh-hang-p76067387.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303230600_MD_batched_PID.159854530&itm_medium=CPC&itm_source=tiki-reco&spid=159854530,89.000 ₫,-6%,398,1724,4.5,7884,1,0
https://tiki.vn/tai-nghe-in-ear-remax-rm330-hang-chinh-hang-p102782859.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303230600_MD_batched_PID.102782861&itm_medium=CPC&itm_source=tiki-reco&spid=102782861,89.000 ₫,-6%,398,1724,4.5,7884,1,0
https://tiki.vn/ao-thun-nam-co-be-theu-chu-ngang-nguc-bao-bao-p76695833.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303230600_MD_batched_PID.76695847&itm_medium=CPC&itm_source=tiki-reco&spid=76695847,99.000 ₫,-45%,514,227,4.5,263,1,4.4
